11/5/2021 5:00,9.98,79.74,1.846,3.49,7.4,0,810.242,-1.348
11/5/2021 6:00,9.29,82.97,2.158,3.75,5.2,0,810.293,-1.398
11/5/2021 7:00,8.9,85.26,1.814,2.83,349.7,0,810.536,2.226
11/5/2021 8:00,9.83,79.73,1.804,3.27,358.5,0,811.014,108.59
11/5/2021 9:00,11.79,71.84,2.211,4.86,1.3,0,811.481,300.948
11/5/2021 10:00,14.53,61.28,2.461,4.54,86.5,0,811.77,537.367
11/5/2021 11:00,16.84,52.08,1.909,3.65,55.8,0,811.635,753.727
11/5/2021 12:00,19.63,42.38,1.486,4.49,77.7,0,811.003,857.667
11/5/2021 13:00,21.92,32.7,1.816,3.88,201.4,0,810.071,898.317
11/5/2021 14:00,22.68,30,2.317,8.65,70.6,0,809.113,848.442
11/5/2021 15:00,22.9,29.19,1.861,6.03,24.5,0,808.426,519.215
11/5/2021 16:00,24.07,25.07,1.685,4.17,309.4,0,808.079,586.908
11/5/2021 17:00,23.3,27.55,2.707,6.7,52.8,0,808.102,285.989
11/5/2021 18:00,21.51,31.49,3.782,7.46,47.5,0,808.527,48.454
11/5/2021 19:00,19.17,40.98,3.75,7.38,59.9,0,809.08,0.157
